row_key,label,game,score,run_count
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),air_raid,285.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),assault,115.5,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),beam_rider,189.2,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),boxing,-1.7,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),breakout,3.9,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),demon_attack,47.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),fishing_derby,-8.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),freeway,1.9,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),gopher,16.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),journey_escape,-2610.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),laser_gates,348.5,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),name_this_game,263.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),pacman,12.4,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),phoenix,238.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),qbert,500.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),riverraid,604.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),robotank,1.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),seaquest,62.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),tennis,-2.3,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),time_pilot,210.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),air_raid,300.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),assault,136.5,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),beam_rider,198.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),boxing,-3.1,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),breakout,4.5,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),demon_attack,54.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),fishing_derby,-9.6,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),freeway,2.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),gopher,16.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),journey_escape,-4240.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),laser_gates,546.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),name_this_game,261.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),pacman,7.3,10
